Recipe Name,Ingredients,Main Vegetable,Cuisine,Cooking Method
mushroom Stir Fry,"stir fry mushroom, spinach, garlic, oregano, tomato sauce",mushroom,Italian,stir fry
eggplant Roast,"roast eggplant, mushroom, tomato, garlic, coconut milk, lemongrass",eggplant,Thai,roast
carrot Curry,"curry carrot, cauliflower, tomato, olive oil",carrot,Mediterranean,curry
broccoli Soup,"soup broccoli, bell pepper, cabbage, zucchini, lemon, tomato",broccoli,Mediterranean,soup
cabbage Saute,"saute cabbage, mushroom, tomato, bacon, onion",cabbage,American,saute
eggplant Stir Fry,"stir fry eggplant, garlic, onion, olive oil",eggplant,French,stir fry
carrot Roast,"roast carrot, broccoli, eggplant, butter, cheddar",carrot,American,roast
bell pepper Bake,"bake bell pepper, onion, peas, tomato, spring onion, sesame oil",bell pepper,Chinese,bake
potato Stir Fry,"stir fry potato, bell pepper, broccoli, corn, cilantro",potato,Mexican,stir fry
spinach Roast,"roast spinach, zucchini, avocado, cilantro",spinach,Mexican,roast
broccoli Bake,"bake broccoli, cabbage, thyme, garlic",broccoli,French,bake
cauliflower Stir Fry,"stir fry cauliflower, broccoli, eggplant, onion, cream",cauliflower,French,stir fry
carrot Stir Fry,"stir fry carrot, onion, bell pepper, basil, oregano",carrot,Italian,stir fry
broccoli Roast,"roast broccoli, garlic, carrot, ginger, chili",broccoli,Indian,roast
zucchini Bake,"bake zucchini, mushroom, onion, feta, tomato",zucchini,Mediterranean,bake
cabbage Grill,"grill cabbage, carrot, garlic, broccoli, soy sauce, garlic",cabbage,Chinese,grill
potato Curry,"curry potato, mushroom, garlic, tomato",potato,Mediterranean,curry
potato Curry,"curry potato, zucchini, onion, spinach, mozzarella, olive oil",potato,Italian,curry
tomato Curry,"curry tomato, broccoli, cabbage, cheddar, butter",tomato,American,curry
mushroom Boil,"boil mushroom, peas, bell pepper, cheddar, corn",mushroom,Mexican,boil
onion Stir Fry,"stir fry onion, spinach, garlic, potato, butter, cream",onion,French,stir fry
tomato Boil,"boil tomato, zucchini, oregano, tomato sauce",tomato,Italian,boil
bell pepper Bake,"bake bell pepper, carrot, butter, cream",bell pepper,French,bake
broccoli Bake,"bake broccoli, cauliflower, mozzarella, oregano",broccoli,Italian,bake
cabbage Soup,"soup cabbage, eggplant, chili, spring onion",cabbage,Chinese,soup
carrot Saute,"saute carrot, potato, bell pepper, cauliflower, garlic, cream",carrot,French,saute
tomato Stir Fry,"stir fry tomato, peas, potato, basil, olive oil",tomato,Italian,stir fry
peas Saute,"saute peas, onion, tomato, cabbage, garlic, coconut milk",peas,Thai,saute
eggplant Grill,"grill eggplant, zucchini, tomato, garlic",eggplant,Mediterranean,grill
bell pepper Stir Fry,"stir fry bell pepper, onion, spinach, mushroom, cheddar, bacon",bell pepper,American,stir fry
carrot Saute,"saute carrot, broccoli, onion, olive oil, cream",carrot,French,saute
potato Grill,"grill potato, zucchini, peas, mozzarella, parmesan",potato,Italian,grill
zucchini Saute,"saute zucchini, cabbage, tomato, thyme, garlic",zucchini,French,saute
potato Boil,"boil potato, bell pepper, tomato, beans, salsa",potato,Mexican,boil
bell pepper Saute,"saute bell pepper, zucchini, tomato, garlic, chili, fish sauce",bell pepper,Thai,saute
zucchini Grill,"grill zucchini, carrot, cauliflower, chili, sesame oil",zucchini,Chinese,grill
bell pepper Boil,"boil bell pepper, zucchini, cheddar, cilantro",bell pepper,Mexican,boil
cabbage Bake,"bake cabbage, carrot, potato, butter, thyme",cabbage,French,bake
onion Saute,"saute onion, tomato, mushroom, bell pepper, spring onion, soy sauce",onion,Chinese,saute
potato Curry,"curry potato, garlic, olive oil, garlic",potato,Mediterranean,curry
spinach Saute,"saute spinach, cabbage, potato, carrot, onion, cheddar",spinach,American,saute
cauliflower Grill,"grill cauliflower, broccoli, spinach, eggplant, ginger, fish sauce",cauliflower,Thai,grill
broccoli Curry,"curry broccoli, zucchini, garlic, ginger",broccoli,Thai,curry
zucchini Soup,"soup zucchini, cauliflower, carrot, tomato, chili, garam masala",zucchini,Indian,soup
eggplant Roast,"roast eggplant, mushroom, ginger, garlic",eggplant,Chinese,roast
spinach Curry,"curry spinach, zucchini, potato, carrot, herbs, tomato",spinach,Mediterranean,curry
eggplant Bake,"bake eggplant, garlic, cabbage, cheddar, bacon",eggplant,American,bake
eggplant Stir Fry,"stir fry eggplant, spinach, onion, bacon",eggplant,American,stir fry
broccoli Saute,"saute broccoli, eggplant, onion, onion, cream",broccoli,French,saute
peas Saute,"saute peas, broccoli, ginger, spring onion",peas,Chinese,saute
carrot Soup,"soup carrot, bell pepper, ginger, chili",carrot,Chinese,soup
bell pepper Boil,"boil bell pepper, potato, onion, tomato, onion",bell pepper,American,boil
eggplant Stir Fry,"stir fry eggplant, peas, tomato, carrot, olive oil, onion",eggplant,French,stir fry
cabbage Soup,"soup cabbage, broccoli, ginger, soy sauce",cabbage,Chinese,soup
peas Stir Fry,"stir fry peas, cabbage, chili, ginger",peas,Thai,stir fry
mushroom Grill,"grill mushroom, potato, zucchini, tomato, lemon",mushroom,Mediterranean,grill
mushroom Curry,"curry mushroom, eggplant, cauliflower, tomato, bacon",mushroom,American,curry
onion Bake,"bake onion, spinach, mushroom, feta, tomato",onion,Mediterranean,bake
cauliflower Saute,"saute cauliflower, potato, peas, tomato, thyme, butter",cauliflower,French,saute
spinach Roast,"roast spinach, potato, mushroom, coconut milk, lemongrass",spinach,Thai,roast
broccoli Soup,"soup broccoli, zucchini, tomato sauce, olive oil",broccoli,Italian,soup
broccoli Roast,"roast broccoli, cabbage, cheddar, cream",broccoli,American,roast
potato Roast,"roast potato, mushroom, tomato, ginger, sesame oil",potato,Chinese,roast
garlic Roast,"roast garlic, potato, cauliflower, tomato, garlic, lemongrass",garlic,Thai,roast
bell pepper Bake,"bake bell pepper, peas, spinach, spring onion, sesame oil",bell pepper,Chinese,bake
onion Stir Fry,"stir fry onion, eggplant, turmeric, cumin",onion,Indian,stir fry
cauliflower Saute,"saute cauliflower, bell pepper, turmeric, ginger",cauliflower,Indian,saute
garlic Roast,"roast garlic, zucchini, parmesan, olive oil",garlic,Italian,roast
mushroom Saute,"saute mushroom, spinach, potato, chili, lemongrass",mushroom,Thai,saute
carrot Soup,"soup carrot, spinach, cauliflower, garam masala, turmeric",carrot,Indian,soup
cabbage Stir Fry,"stir fry cabbage, potato, mushroom, beans, salsa",cabbage,Mexican,stir fry
broccoli Curry,"curry broccoli, garlic, peas, corn, avocado",broccoli,Mexican,curry
garlic Stir Fry,"stir fry garlic, peas, cheddar, beans",garlic,Mexican,stir fry
zucchini Grill,"grill zucchini, carrot, onion, turmeric, cumin",zucchini,Indian,grill
eggplant Saute,"saute eggplant, garlic, tomato sauce, basil",eggplant,Italian,saute
mushroom Grill,"grill mushroom, bell pepper, mozzarella, parmesan",mushroom,Italian,grill
potato Grill,"grill potato, cabbage, broccoli, cheddar, corn",potato,Mexican,grill
broccoli Soup,"soup broccoli, tomato, cheddar, onion",broccoli,American,soup
eggplant Grill,"grill eggplant, cabbage, broccoli, spinach, corn, salsa",eggplant,Mexican,grill
mushroom Soup,"soup mushroom, carrot, cauliflower, cheddar, cilantro",mushroom,Mexican,soup
bell pepper Boil,"boil bell pepper, carrot, corn, cilantro",bell pepper,Mexican,boil
potato Stir Fry,"stir fry potato, bell pepper, onion, chili, fish sauce",potato,Thai,stir fry
eggplant Bake,"bake eggplant, garlic, onion, potato, cream, onion",eggplant,American,bake
spinach Boil,"boil spinach, cauliflower, thyme, olive oil",spinach,French,boil
tomato Boil,"boil tomato, bell pepper, spinach, olive oil, cream",tomato,French,boil
cabbage Boil,"boil cabbage, bell pepper, cauliflower, lemongrass, chili",cabbage,Thai,boil
cabbage Saute,"saute cabbage, cauliflower, onion, zucchini, cilantro, avocado",cabbage,Mexican,saute
broccoli Curry,"curry broccoli, spinach, garlic, tomato",broccoli,Mediterranean,curry
zucchini Boil,"boil zucchini, mushroom, coconut milk, fish sauce",zucchini,Thai,boil
carrot Boil,"boil carrot, bell pepper, cabbage, broccoli, lemongrass, fish sauce",carrot,Thai,boil
eggplant Curry,"curry eggplant, garlic, peas, carrot, tomato, herbs",eggplant,Mediterranean,curry
potato Saute,"saute potato, cabbage, onion, carrot, beans, corn",potato,Mexican,saute
zucchini Grill,"grill zucchini, cabbage, broccoli, parmesan, basil",zucchini,Italian,grill
spinach Curry,"curry spinach, potato, garlic, herbs",spinach,Mediterranean,curry
garlic Grill,"grill garlic, broccoli, bell pepper, potato, lemon, tomato",garlic,Mediterranean,grill
broccoli Roast,"roast broccoli, zucchini, tomato, feta, garlic",broccoli,Mediterranean,roast
cabbage Boil,"boil cabbage, broccoli, garlic, peas, lemon, garlic",cabbage,Mediterranean,boil
bell pepper Soup,"soup bell pepper, eggplant, onion, cabbage, beans, avocado",bell pepper,Mexican,soup
onion Soup,"soup onion, cabbage, eggplant, cream, garlic",onion,French,soup
cabbage Bake,"bake cabbage, eggplant, onion, chili, turmeric",cabbage,Indian,bake
bell pepper Boil,"boil bell pepper, garlic, onion, bacon, butter",bell pepper,American,boil
tomato Stir Fry,"stir fry tomato, broccoli, eggplant, cabbage, tomato sauce, parmesan",tomato,Italian,stir fry
peas Boil,"boil peas, onion, zucchini, oregano, parmesan",peas,Italian,boil
tomato Curry,"curry tomato, onion, spinach, ginger, lemongrass",tomato,Thai,curry
eggplant Bake,"bake eggplant, tomato, broccoli, butter, onion",eggplant,American,bake
cabbage Saute,"saute cabbage, cauliflower, cilantro, salsa",cabbage,Mexican,saute
carrot Boil,"boil carrot, peas, garlic, olive oil",carrot,Mediterranean,boil
cauliflower Boil,"boil cauliflower, mushroom, bell pepper, spinach, oregano, basil",cauliflower,Italian,boil
peas Stir Fry,"stir fry peas, broccoli, cabbage, spinach, salsa, cilantro",peas,Mexican,stir fry
carrot Bake,"bake carrot, bell pepper, lemon, garlic",carrot,Mediterranean,bake
cabbage Soup,"soup cabbage, cauliflower, cheddar, cream",cabbage,American,soup
cauliflower Soup,"soup cauliflower, onion, bell pepper, ginger, sesame oil",cauliflower,Chinese,soup
peas Stir Fry,"stir fry peas, potato, lemongrass, ginger",peas,Thai,stir fry
cabbage Boil,"boil cabbage, onion, peas, garam masala, chili",cabbage,Indian,boil
peas Stir Fry,"stir fry peas, cabbage, spinach, basil, tomato sauce",peas,Italian,stir fry
tomato Stir Fry,"stir fry tomato, mushroom, cauliflower, garlic, olive oil",tomato,Mediterranean,stir fry
zucchini Stir Fry,"stir fry zucchini, mushroom, feta, tomato",zucchini,Mediterranean,stir fry
mushroom Roast,"roast mushroom, bell pepper, eggplant, bacon, onion",mushroom,American,roast
onion Soup,"soup onion, broccoli, sesame oil, ginger",onion,Chinese,soup
eggplant Grill,"grill eggplant, cabbage, spinach, thyme, garlic",eggplant,French,grill
eggplant Grill,"grill eggplant, spinach, sesame oil, spring onion",eggplant,Chinese,grill
tomato Soup,"soup tomato, carrot, cabbage, spinach, cumin, turmeric",tomato,Indian,soup
bell pepper Curry,"curry bell pepper, potato, garlic, onion, cream",bell pepper,French,curry
cabbage Boil,"boil cabbage, tomato, onion, tomato sauce, parmesan",cabbage,Italian,boil
onion Soup,"soup onion, bell pepper, mushroom, zucchini, chili, coconut milk",onion,Thai,soup
mushroom Roast,"roast mushroom, zucchini, chili, ginger",mushroom,Thai,roast
broccoli Bake,"bake broccoli, eggplant, zucchini, spinach, cheddar, avocado",broccoli,Mexican,bake
carrot Stir Fry,"stir fry carrot, mushroom, cauliflower, lemon, olive oil",carrot,Mediterranean,stir fry
broccoli Curry,"curry broccoli, carrot, beans, corn",broccoli,Mexican,curry
cauliflower Saute,"saute cauliflower, eggplant, potato, olive oil, garlic",cauliflower,Mediterranean,saute
mushroom Stir Fry,"stir fry mushroom, peas, onion, carrot, parmesan, mozzarella",mushroom,Italian,stir fry
peas Roast,"roast peas, zucchini, avocado, cilantro",peas,Mexican,roast
cabbage Bake,"bake cabbage, broccoli, bell pepper, garlic, tomato sauce, basil",cabbage,Italian,bake
cabbage Roast,"roast cabbage, garlic, potato, olive oil, butter",cabbage,French,roast
garlic Saute,"saute garlic, peas, broccoli, lemongrass, coconut milk",garlic,Thai,saute
cabbage Roast,"roast cabbage, peas, tomato sauce, mozzarella",cabbage,Italian,roast
potato Roast,"roast potato, garlic, lemongrass, chili",potato,Thai,roast
tomato Saute,"saute tomato, eggplant, ginger, coconut milk",tomato,Thai,saute
zucchini Saute,"saute zucchini, onion, garlic, fish sauce",zucchini,Thai,saute
spinach Boil,"boil spinach, cabbage, onion, peas, tomato sauce, basil",spinach,Italian,boil
broccoli Soup,"soup broccoli, spinach, coriander, chili",broccoli,Indian,soup
zucchini Bake,"bake zucchini, onion, spinach, sesame oil, spring onion",zucchini,Chinese,bake
cabbage Boil,"boil cabbage, carrot, spinach, cauliflower, basil, oregano",cabbage,Italian,boil
mushroom Curry,"curry mushroom, peas, cauliflower, cabbage, cilantro, salsa",mushroom,Mexican,curry
onion Saute,"saute onion, bell pepper, peas, broccoli, garlic, soy sauce",onion,Chinese,saute
garlic Grill,"grill garlic, peas, mushroom, bell pepper, spring onion, chili",garlic,Chinese,grill
peas Roast,"roast peas, onion, garam masala, cumin",peas,Indian,roast
cabbage Stir Fry,"stir fry cabbage, garlic, eggplant, cheddar, salsa",cabbage,Mexican,stir fry
tomato Soup,"soup tomato, broccoli, cumin, garam masala",tomato,Indian,soup
cabbage Curry,"curry cabbage, carrot, broccoli, mushroom, fish sauce, chili",cabbage,Thai,curry
broccoli Curry,"curry broccoli, carrot, potato, oregano, olive oil",broccoli,Italian,curry
eggplant Roast,"roast eggplant, cauliflower, sesame oil, spring onion",eggplant,Chinese,roast
cauliflower Bake,"bake cauliflower, tomato, broccoli, avocado, corn",cauliflower,Mexican,bake
potato Bake,"bake potato, broccoli, lemongrass, coconut milk",potato,Thai,bake
tomato Saute,"saute tomato, mushroom, avocado, salsa",tomato,Mexican,saute
garlic Boil,"boil garlic, spinach, cream, garlic",garlic,French,boil
tomato Boil,"boil tomato, garlic, bell pepper, tomato, herbs",tomato,Mediterranean,boil
mushroom Soup,"soup mushroom, zucchini, cilantro, salsa",mushroom,Mexican,soup
broccoli Soup,"soup broccoli, zucchini, garlic, eggplant, beans, avocado",broccoli,Mexican,soup
carrot Roast,"roast carrot, spinach, salsa, cilantro",carrot,Mexican,roast
tomato Stir Fry,"stir fry tomato, potato, broccoli, coriander, turmeric",tomato,Indian,stir fry
potato Stir Fry,"stir fry potato, garlic, mushroom, garlic, cream",potato,French,stir fry
zucchini Saute,"saute zucchini, cabbage, cauliflower, garlic, coconut milk",zucchini,Thai,saute
broccoli Grill,"grill broccoli, eggplant, ginger, chili",broccoli,Thai,grill
cabbage Soup,"soup cabbage, potato, eggplant, coconut milk, fish sauce",cabbage,Thai,soup
peas Grill,"grill peas, spinach, broccoli, basil, tomato sauce",peas,Italian,grill
potato Roast,"roast potato, eggplant, cabbage, garlic, olive oil",potato,French,roast
peas Boil,"boil peas, spinach, mushroom, cabbage, oregano, basil",peas,Italian,boil
tomato Bake,"bake tomato, eggplant, cauliflower, zucchini, onion, butter",tomato,American,bake
eggplant Boil,"boil eggplant, cabbage, turmeric, coriander",eggplant,Indian,boil
mushroom Boil,"boil mushroom, zucchini, cauliflower, ginger, chili",mushroom,Thai,boil
tomato Curry,"curry tomato, carrot, mushroom, broccoli, butter, garlic",tomato,French,curry
carrot Roast,"roast carrot, tomato, lemon, olive oil",carrot,Mediterranean,roast
eggplant Stir Fry,"stir fry eggplant, cabbage, peas, mushroom, coriander, turmeric",eggplant,Indian,stir fry
peas Stir Fry,"stir fry peas, bell pepper, cabbage, butter, cheddar",peas,American,stir fry
potato Stir Fry,"stir fry potato, onion, peas, ginger, chili",potato,Chinese,stir fry
broccoli Roast,"roast broccoli, spinach, cauliflower, cabbage, garlic, lemon",broccoli,Mediterranean,roast
eggplant Saute,"saute eggplant, potato, cabbage, peas, avocado, cilantro",eggplant,Mexican,saute
cauliflower Soup,"soup cauliflower, spinach, zucchini, garlic, beans, avocado",cauliflower,Mexican,soup
spinach Bake,"bake spinach, onion, peas, chili, coriander",spinach,Indian,bake
cabbage Saute,"saute cabbage, potato, spinach, zucchini, cream, garlic",cabbage,French,saute
garlic Grill,"grill garlic, spinach, onion, broccoli, corn, beans",garlic,Mexican,grill
zucchini Soup,"soup zucchini, tomato, broccoli, herbs, garlic",zucchini,Mediterranean,soup
garlic Saute,"saute garlic, broccoli, spinach, bell pepper, ginger, garam masala",garlic,Indian,saute
onion Curry,"curry onion, mushroom, broccoli, zucchini, chili, coriander",onion,Indian,curry
mushroom Bake,"bake mushroom, cauliflower, cabbage, cheddar, cream",mushroom,American,bake
zucchini Soup,"soup zucchini, cabbage, butter, bacon",zucchini,American,soup
broccoli Stir Fry,"stir fry broccoli, mushroom, zucchini, chili, lemongrass",broccoli,Thai,stir fry
bell pepper Roast,"roast bell pepper, cabbage, mushroom, tomato, herbs",bell pepper,Mediterranean,roast
carrot Soup,"soup carrot, cauliflower, potato, garlic, mozzarella, oregano",carrot,Italian,soup
eggplant Roast,"roast eggplant, tomato, carrot, lemongrass, ginger",eggplant,Thai,roast
spinach Boil,"boil spinach, broccoli, garlic, mushroom, sesame oil, ginger",spinach,Chinese,boil
bell pepper Saute,"saute bell pepper, mushroom, broccoli, peas, fish sauce, lemongrass",bell pepper,Thai,saute
zucchini Curry,"curry zucchini, onion, coriander, turmeric",zucchini,Indian,curry
eggplant Grill,"grill eggplant, tomato, cauliflower, bacon, butter",eggplant,American,grill
eggplant Saute,"saute eggplant, zucchini, spinach, beans, corn",eggplant,Mexican,saute
broccoli Saute,"saute broccoli, peas, mushroom, tomato, mozzarella, tomato sauce",broccoli,Italian,saute
onion Boil,"boil onion, carrot, mushroom, tomato, turmeric, ginger",onion,Indian,boil
broccoli Soup,"soup broccoli, tomato, cabbage, potato, bacon, butter",broccoli,American,soup
spinach Boil,"boil spinach, zucchini, mushroom, corn, salsa",spinach,Mexican,boil
potato Saute,"saute potato, onion, corn, cheddar",potato,Mexican,saute
bell pepper Boil,"boil bell pepper, cabbage, garlic, ginger",bell pepper,Chinese,boil
broccoli Grill,"grill broccoli, mushroom, tomato, coriander, turmeric",broccoli,Indian,grill
broccoli Boil,"boil broccoli, mushroom, tomato, coriander, ginger",broccoli,Indian,boil
eggplant Grill,"grill eggplant, bell pepper, potato, coconut milk, chili",eggplant,Thai,grill
bell pepper Roast,"roast bell pepper, carrot, potato, garlic, coconut milk",bell pepper,Thai,roast
zucchini Stir Fry,"stir fry zucchini, bell pepper, garlic, cauliflower, corn, cilantro",zucchini,Mexican,stir fry
eggplant Bake,"bake eggplant, mushroom, soy sauce, spring onion",eggplant,Chinese,bake
zucchini Soup,"soup zucchini, spinach, cheddar, avocado",zucchini,Mexican,soup
cabbage Stir Fry,"stir fry cabbage, potato, onion, garam masala, ginger",cabbage,Indian,stir fry
garlic Grill,"grill garlic, cauliflower, broccoli, carrot, olive oil, thyme",garlic,French,grill
eggplant Roast,"roast eggplant, spinach, garlic, lemon, olive oil",eggplant,Mediterranean,roast
tomato Roast,"roast tomato, cabbage, carrot, broccoli, chili, turmeric",tomato,Indian,roast
bell pepper Curry,"curry bell pepper, mushroom, cabbage, spring onion, ginger",bell pepper,Chinese,curry
potato Bake,"bake potato, carrot, zucchini, sesame oil, chili",potato,Chinese,bake
cabbage Saute,"saute cabbage, potato, spinach, olive oil, basil",cabbage,Italian,saute
tomato Saute,"saute tomato, onion, potato, zucchini, tomato, lemon",tomato,Mediterranean,saute
eggplant Soup,"soup eggplant, spinach, garam masala, cumin",eggplant,Indian,soup
spinach Grill,"grill spinach, zucchini, chili, ginger",spinach,Chinese,grill
tomato Boil,"boil tomato, cauliflower, eggplant, parmesan, oregano",tomato,Italian,boil
tomato Soup,"soup tomato, peas, cheddar, corn",tomato,Mexican,soup
garlic Saute,"saute garlic, zucchini, garlic, lemon",garlic,Mediterranean,saute
cabbage Bake,"bake cabbage, eggplant, cauliflower, chili, coconut milk",cabbage,Thai,bake
bell pepper Boil,"boil bell pepper, eggplant, mushroom, cream, onion",bell pepper,French,boil
broccoli Stir Fry,"stir fry broccoli, carrot, cabbage, onion, cilantro, salsa",broccoli,Mexican,stir fry
zucchini Bake,"bake zucchini, mushroom, peas, carrot, coriander, garam masala",zucchini,Indian,bake
potato Soup,"soup potato, tomato, eggplant, onion, mozzarella, oregano",potato,Italian,soup
